plan_id,plan_name,plan_family,plan_year,market,metal_level,state,county,issuer_name,formulary_group,applies_to,rule_type,rule_code,rule_name,rule_text,source_file,source_page,source_doc_url
AMB-PREMIER-SILVER-2026,Ambetter Health Premier Silver,Ambetter Health Premier,2026,ACA Marketplace,Silver,AZ,Varies by county,Ambetter from Arizona Complete Health,AMBETTER_AZ_2026,ALL_DRUGS,coverage_rule,QL,Quantity limit,Some drugs are only covered for a certain amount.,2026-az-formulary.pdf,3.0,
AMB-PREMIER-SILVER-2026,Ambetter Health Premier Silver,Ambetter Health Premier,2026,ACA Marketplace,Silver,AZ,Varies by county,Ambetter from Arizona Complete Health,AMBETTER_AZ_2026,ALL_DRUGS,coverage_rule,PA,Prior authorization,Your doctor must ask for approval from Ambetter before some drugs will be covered.,2026-az-formulary.pdf,3.0,
AMB-PREMIER-SILVER-2026,Ambetter Health Premier Silver,Ambetter Health Premier,2026,ACA Marketplace,Silver,AZ,Varies by county,Ambetter from Arizona Complete Health,AMBETTER_AZ_2026,ALL_DRUGS,coverage_rule,ST,Step therapy,"In some cases, you must first try certain drugs before Ambetter covers another drug for your medical condition.",2026-az-formulary.pdf,3.0,
AMB-PREMIER-SILVER-2026,Ambetter Health Premier Silver,Ambetter Health Premier,2026,ACA Marketplace,Silver,AZ,Varies by county,Ambetter from Arizona Complete Health,AMBETTER_AZ_2026,ALL_DRUGS,coverage_rule,NF,Non-formulary,This product is not covered unless you or your provider request an exception; alternative medications are listed next to the non-covered product.,2026-az-formulary.pdf,3.0,
AMB-PREMIER-SILVER-2026,Ambetter Health Premier Silver,Ambetter Health Premier,2026,ACA Marketplace,Silver,AZ,Varies by county,Ambetter from Arizona Complete Health,AMBETTER_AZ_2026,ALL_DRUGS,coverage_rule,SP,Specialty drug,These products are Specialty Drugs that may have special fill requirements.,2026-az-formulary.pdf,3.0,
AMB-PREMIER-SILVER-2026,Ambetter Health Premier Silver,Ambetter Health Premier,2026,ACA Marketplace,Silver,AZ,Varies by county,Ambetter from Arizona Complete Health,AMBETTER_AZ_2026,ALL_DRUGS,coverage_rule,SF,Split fill,"Initially, certain medications may only be available in 15-day-supply increments until you are stabilized on the medication.",2026-az-formulary.pdf,3.0,
AMB-PREMIER-GOLD-2026,Ambetter Health Premier Gold,Ambetter Health Premier,2026,ACA Marketplace,Gold,AZ,Varies by county,Ambetter from Arizona Complete Health,AMBETTER_AZ_2026,ALL_DRUGS,tier_definition,0,Tier 0,No copayment for preventive drugs mandated by the ACA; certain age or gender limits apply.,2026-az-formulary.pdf,2.0,
AMB-PREMIER-GOLD-2026,Ambetter Health Premier Gold,Ambetter Health Premier,2026,ACA Marketplace,Gold,AZ,Varies by county,Ambetter from Arizona Complete Health,AMBETTER_AZ_2026,ALL_DRUGS,tier_definition,1A,Tier 1A,Lowest copayment for select drugs that offer the greatest value compared to other drugs used to treat similar conditions.,2026-az-formulary.pdf,2.0,
AMB-PREMIER-GOLD-2026,Ambetter Health Premier Gold,Ambetter Health Premier,2026,ACA Marketplace,Gold,AZ,Varies by county,Ambetter from Arizona Complete Health,AMBETTER_AZ_2026,ALL_DRUGS,tier_definition,1B,Tier 1B,Low copayment for drugs that offer great value compared to other drugs used to treat similar conditions.,2026-az-formulary.pdf,2.0,
AMB-PREMIER-GOLD-2026,Ambetter Health Premier Gold,Ambetter Health Premier,2026,ACA Marketplace,Gold,AZ,Varies by county,Ambetter from Arizona Complete Health,AMBETTER_AZ_2026,ALL_DRUGS,tier_definition,2,Tier 2,Medium copayment covers brand name drugs that are generally more affordable or may be preferred compared to other drugs used to treat the same conditions.,2026-az-formulary.pdf,2.0,
